"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_v8.nlogo"
"main-simulation-results-covary-social-costs-prev"
"01/27/2026 23:46:02:396 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","number-of-scouts","reorient-tick","cost-leaving","cost-of-infection","disease-prevalence","cost-perception-distance","cost-perception-angle","cost-walk-speed","cost-leading","cost-disappointment","[step]","nest-energy","ind-ant-times-visited","total-num-food-visits","total-num-food-visits-returned","total-num-food-visits-returned-ui","total-num-food-visits-returned-i","total-num-ants-visited","total-num-active-ants","total-foraging-distance","total-foraging-distance-ui","total-foraging-distance-i","forager-energy-ui","forager-energy-i","total-steps-taken","number-tr"
"6","25","5","0","0.5","0.1","1","0","0","1","0","5400","888.7024566971955","12.28","1228","1185","1068","117","100","100","163251.19999986832","146920.80000010596","16330.399999993911","847.0926143730017","91.26376009798909","204064","88"
"5","25","5","0","0.4","0.1","1","0","0","1","0","5400","868.4541201609983","12.01","1201","1158","1035","123","100","100","157766.39999994813","141615.20000018316","16151.199999994074","814.5629911319586","96.72631539996209","197208","94"
"7","25","5","0","0.6","0.1","1","0","0","1","0","5400","878.2037513996047","12.08","1208","1171","1069","102","100","100","162075.99999988542","147180.80000010217","14895.199999995217","839.8925392504079","81.45169908799689","202595","91"
"1","25","5","0","0","0.1","1","0","0","1","0","5400","815.2044074376223","11.27","1127","1087","968","119","100","100","161091.99999989974","144096.80000014705","16995.199999993307","765.3309737558984","93.33855797661496","201365","86"
"3","25","5","0","0.2","0.1","1","0","0","1","0","5400","863.2018334488421","11.88","1188","1151","1050","101","99","100","169475.99999977773","150977.60000004692","18498.39999999194","822.5663720361807","80.63809843189298","211845","83"
"4","25","5","0","0.3","0.1","1","0","0","1","0","5400","861.7040009925831","11.81","1181","1149","1045","104","98","100","167487.19999980667","149231.20000007233","18255.99999999216","819.0606584163896","81.73817355448615","209359","91"
"2","25","5","0","0.1","0.1","1","0","0","1","0","5400","833.2039464247056","11.65","1165","1111","1003","108","100","100","159429.59999992393","144592.00000013984","14837.59999999527","799.3933286493888","87.12671695102333","199287","92"
"8","25","5","0","0.7","0.1","1","0","0","1","0","5400","783.7066625836067","10.8","1080","1045","952","93","98","100","163406.39999986606","143358.4000001578","20047.99999999053","747.4937062199497","73.46887126884548","204258","91"
"9","25","5","0","0.8","0.1","1","0","0","1","0","5400","863.2032590652165","11.99","1199","1151","1055","96","99","100","167489.59999980664","147814.40000009295","19675.19999999087","835.0985939806085","74.53773627737316","209362","94"
"10","25","5","0","0.9","0.1","1","0","0","1","0","5400","860.9549112728645","11.96","1196","1148","1081","67","98","100","169663.999999775","150158.40000005884","19505.599999991024","855.3791297042233","51.319040355855755","212080","98"
"13","25","5","0","0.1","0.5","1","0","0","1","0","5400","818.955255564358","11.33","1133","1092","551","541","98","100","162223.19999988328","81696.00000015696","80527.2000001527","431.34379657476154","430.1503933132474","202779","83"
"11","25","5","0","0.995","0.1","1","0","0","1","0","5400","782.2057170666708","10.84","1084","1043","997","46","99","100","163424.7999998658","138860.00000022326","24564.799999986422","788.3638355882094","34.84874092178653","204281","94"
"12","25","5","0","0","0.5","1","0","0","1","0","5400","913.4523093883962","12.58","1258","1218","615","603","100","100","164451.99999985084","84122.40000016578","80329.60000015199","483.06805171100183","472.4942108501664","205565","96"
"14","25","5","0","0.2","0.5","1","0","0","1","0","5400","815.9551466733016","11.28","1128","1088","559","529","97","100","164603.99999984863","81261.60000015538","83342.40000016295","440.1876769993277","418.77453613264925","205755","94"
"15","25","5","0","0.3","0.5","1","0","0","1","0","5400","768.704772528531","10.73","1073","1025","532","493","99","100","160878.39999990285","81417.60000015594","79460.80000014883","419.66887561254083","393.9569712099106","201098","88"
"16","25","5","0","0.4","0.5","1","0","0","1","0","5400","722.2096437515222","10.09","1009","963","504","459","98","100","151233.6000000432","74935.20000013236","76298.40000013732","402.64586648360483","363.6266858133689","189042","90"
