[run number],number-of-scouts,reorient-tick,cost-leaving,cost-of-infection,disease-prevalence,cost-perception-distance,cost-perception-angle,cost-walk-speed,cost-leading,cost-disappointment,[step],nest-energy,ind-ant-times-visited,total-num-food-visits,total-num-food-visits-returned,total-num-food-visits-returned-ui,total-num-food-visits-returned-i,total-num-ants-visited,total-num-active-ants,total-foraging-distance,total-foraging-distance-ui,total-foraging-distance-i,forager-energy-ui,forager-energy-i,total-steps-taken,number-tr
6,25,5,0,0.5,0.1,1,0,0,0,0,5400,915.7019323,12.6,1260,1221,1103,118,100,100,165080,145920.8,19159.2,864.7366683,91.8628968,206350,87
4,25,5,0,0.3,0.1,1,0,0,0,0,5400,776.2053963,10.71,1071,1035,921,114,97,100,164872.8,146455.2,18417.6,729.8615031,88.64437241,206091,83
2,25,5,0,0.1,0.1,1,0,0,0,0,5400,926.9527785,12.88,1288,1236,1116,120,99,100,166058.4,147472.8,18585.6,879.7674458,96.1068198,207573,93
7,25,5,0,0.6,0.1,1,0,0,0,0,5400,860.2026679,11.84,1184,1147,1034,113,100,100,162004,145764,16240,811.5242165,89.00753971,202505,86
5,25,5,0,0.4,0.1,1,0,0,0,0,5400,914.9540306,12.61,1261,1220,1127,93,97,100,169416.8,147449.6,21967.2,884.9174541,73.52453693,211771,89
3,25,5,0,0.2,0.1,1,0,0,0,0,5400,911.202351,12.48,1248,1215,1093,122,99,100,166638.4,149969.6,16668.8,852.422934,96.76990512,208298,86
1,25,5,0,0,0.1,1,0,0,0,0,5400,837.7039971,11.61,1161,1117,996,121,99,100,160330.4,144029.6,16300.8,784.7060002,96.18876989,200413,84
8,25,5,0,0.7,0.1,1,0,0,0,0,5400,880.4527381,12.14,1214,1174,1054,120,99,100,170861.6,153702.4,17159.2,824.7905396,93.43851026,213577,92
10,25,5,0,0.9,0.1,1,0,0,0,0,5400,768.7060511,10.55,1055,1025,963,62,99,100,159852.8,140700,19152.8,758.2570142,48.25039851,199816,85
13,25,5,0,0.1,0.5,1,0,0,0,0,5400,816.704602,11.17,1117,1089,516,573,96,100,168108.8,86621.6,81487.2,407.0297834,449.5626073,210136,89
12,25,5,0,0,0.5,1,0,0,0,0,5400,783.7045995,10.91,1091,1045,526,519,99,100,159924,75695.2,84228.8,420.9206255,409.099264,199905,85
9,25,5,0,0.8,0.1,1,0,0,0,0,5400,870.702974,11.99,1199,1161,1068,93,97,100,175693.6,158942.4,16751.2,836.8951807,71.53238359,219617,85
11,25,5,0,0.995,0.1,1,0,0,0,0,5400,814.4559366,11.19,1119,1086,1043,43,99,100,169582.4,143050.4,26532,819.3562992,32.64814165,211978,93
